Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
tatar_union_diplo_title;Reestablish the Kipchak Khanate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
tatar_union_diplo_desc;The Tatar states are weak and fragmented. For far too long we have underestimated the Russians and the fall of the Qazan Khanate proved this. The realization of this threat and the shifting balance of power has convinced our great Khan to reconcile with his old Tatar rivals. All the Khans have agreed to reestablish the Altin Urda under our banner. The Rus' shall burn!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
tatar_union_mil_title;Reestablish the Kipchak Khanate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
tatar_union_mil_desc;The Tatar states were weak and fragmented. For far too long we have underestimated the Russians and the fall of the Qazan Khanate proved this. We need to overthrow our old rivals and reassert our dominance over the Russians once again. Long live the Khan!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
tatar_formation_title;Reestablish the Kipchak Khanate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
tatar_formation_desc;The Tatar states were weak and fragmented. After decades of struggle and decline, we have managed to subdue the Tatar Steppes. Now it is time to reclaim Batu Khan's legacy.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_kazan_title;End the Qazan Raids;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_kazan_desc;For centuries, the raids originating from Qazan have devastated our lands. It is time to finally bring an end to the Tatar Yoke!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
control_novgorod_title;Take control in Novgorod;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
control_novgorod_desc;The Republic of Novgorod has been a part of our sphere of influence for centuries, but with increasing Russian nationalism we should integrate them further into our realm.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_estonia_title;Integrate Estland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_estonia_desc;Estland has been a dominion of Sweden since the 16th century, but with the increasing threat of Russian unification, our control of the Northern Baltics is in danger. We must sacrifice Estonian autonomy to secure the region's stability!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_livonia_title;Integrate Livland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_livonia_desc;Livland has been a dominion of Sweden since the 16th century, but with the increasing threat of Russian unification, our control of the Northern Baltics is in danger. We must sacrifice Livonian autonomy to secure the region's stability!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_ingermanland_title;Integrate Ingria;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_ingermanland_desc;Ingria has been a dominion of Sweden since the 16th century, but with the increasing threat of Russian unification, our control of the Northern Baltics is in danger. We must sacrifice Ingrian autonomy to secure the region's stability!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassalize_nogay_rej_title;Subjugate the Nogay Khanate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassalize_nogay_rej_desc;The foolish Khan of Nogay has refused our offer. We need to subjugate him by the sword to save the Tatars from Russian expansionism!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassalize_nogay_acc_title;Nogay accepts our offer;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassalize_nogay_acc_desc;The Khan of Nogay has accepted our offer. The Russians won't stand a chance against a united Steppe!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
centralize_the_khanate_title;Centralize the Khanate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
centralize_the_khanate_desc;Now that the Russian threat has been dealt with, our rule is unchallenged. It is time to formally unite the Khanate!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassalize_sib_rej_title;Subjugate the Qashliq Khanate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassalize_sib_rej_desc;The foolish Khan of Qashliq has refused our offer. We need to subjugate him by the sword to save the Tatars from Russian expansionism!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassalize_sib_acc_title;Qashliq accepts our offer;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassalize_sib_acc_desc;The Khan of Qashliq has accepted our offer. The Russians won't stand a chance against a united Steppe!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassalize_akh_acc_title;Astrakhan accepts our offer;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassalize_akh_acc_desc;The Khan of Astrakhan has accepted our offer. The Russians won't stand a chance against a united Steppe!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
avenge_kazan_title;Avenge Qazan!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
avenge_kazan_desc;The Russian conquest of Qazan was extremely brutal. It depopulated the once rich region of the Upper Idel, with thousands of Qazanis fleeing their home and even more getting killed by Skobelev's troops - not to mention the ruthless execution of the Khan and his entire family. It is our duty, now that the Steppe stands united, to liberate Qazan!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
subdue_yugra_title;Subdue Yugra;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
subdue_yugra_desc;The fur traders of the Yugrian wastes were able to remain independant by opportunistically switching alliances between the Tatars and Russians. Now that we are dominating both Russia and the Steppe, we are in a position to assume direct control over their valuable resources.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
subdue_the_sayan_uriankhai_title;Subdue the Sayan Tribes;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
subdue_the_sayan_uriankhai_desc;After having conquered Yugra, the cold wastes of Siberia are almost free to grab. The only thing holding us back is the influencial position of the Oirat Khagnate in Tuva and the Baikal. The conquest of the Sayan Tribes will increase our influence in the region.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_altai_uriankhai_title;Annex Tuva;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_altai_uriankhai_desc;Our increased influence in Tuva allows us to further integrate the region. This act, however, will force the Oirats to respond.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassalize_buryatia_title;Take control over Buryatia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassalize_buryatia_desc;The Oirat control in Central Siberia has collapsed. We need to fill this vacuum of power.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_daurs_title;Take control in the Daur Khanate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_daurs_desc;The Oirat control in the North has collapsed. We need to fill this vacuum of power.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_manchu_title;The Jurchen Conflict;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
